# t=n*delta_t euler_normal euler_symmetrisch analytisch
0 1 1 1
0.1 0.9 0.904837 0.904837
0.2 0.81 0.819033 0.818731
0.3 0.729 0.741031 0.740818
0.4 0.6561 0.670826 0.67032
0.5 0.59049 0.606866 0.606531
0.6 0.531441 0.549453 0.548812
0.7 0.478297 0.496975 0.496585
0.8 0.430467 0.450058 0.449329
0.9 0.38742 0.406963 0.40657
1 0.348678 0.368666 0.367879
1.1 0.313811 0.33323 0.332871
1.2 0.28243 0.302019 0.301194
1.3 0.254187 0.272826 0.272532
1.4 0.228768 0.247454 0.246597
1.5 0.205891 0.223336 0.22313
1.6 0.185302 0.202787 0.201897
1.7 0.166772 0.182778 0.182684
1.8 0.150095 0.166231 0.165299
1.9 0.135085 0.149532 0.149569
2 0.121577 0.136325 0.135335
2.1 0.109419 0.122267 0.122456
2.2 0.0984771 0.111872 0.110803
2.3 0.0886294 0.0998924 0.100259
2.4 0.0797664 0.0918933 0.090718
2.5 0.0717898 0.0815138 0.082085
2.6 0.0646108 0.0755905 0.0742736
2.7 0.0581497 0.0663957 0.0672055
2.8 0.0523348 0.0623114 0.0608101
2.9 0.0471013 0.0539334 0.0550232
3 0.0423912 0.0515247 0.0497871
3.1 0.038152 0.0436285 0.0450492
3.2 0.0343368 0.042799 0.0407622
3.3 0.0309032 0.0350687 0.0368832
3.4 0.0278128 0.0357853 0.0333733
3.5 0.0250316 0.0279116 0.0301974
3.6 0.0225284 0.030203 0.0273237
3.7 0.0202756 0.021871 0.0247235
3.8 0.018248 0.0258288 0.0223708
3.9 0.0164232 0.0167053 0.0202419
4 0.0147809 0.0224877 0.0183156
4.1 0.0133028 0.0122077 0.0165727
4.2 0.0119725 0.0200462 0.0149956
4.3 0.0107753 0.00819849 0.0135686
4.4 0.00969774 0.0184065 0.0122773
4.5 0.00872796 0.0045172 0.011109
4.6 0.00785517 0.017503 0.0100518
4.7 0.00706965 0.0010166 0.00909528
4.8 0.00636269 0.0172997 0.00822975
4.9 0.00572642 -0.00244334 0.00744658
5 0.00515378 0.0177884 0.00673795
5.1 0.0046384 -0.00600101 0.00609675
5.2 0.00417456 0.0189886 0.00551656
5.3 0.0037571 -0.00979872 0.00499159
5.4 0.00338139 0.0209483 0.00451658
5.5 0.00304325 -0.0139884 0.00408677
5.6 0.00273893 0.023746 0.00369786
5.7 0.00246503 -0.0187376 0.00334597
5.8 0.00221853 0.0274935 0.00302755
5.9 0.00199668 -0.0242363 0.00273944
6 0.00179701 0.0323408 0.00247875
6.1 0.00161731 -0.0307044 0.00224287
6.2 0.00145558 0.0384816 0.00202943
6.3 0.00131002 -0.0384008 0.0018363
6.4 0.00117902 0.0461618 0.00166156
6.5 0.00106112 -0.0476331 0.00150344
6.6 0.000955005 0.0556884 0.00136037
6.7 0.000859504 -0.0587708 0.00123091
6.8 0.000773554 0.0674426 0.00111378
6.9 0.000696199 -0.0722593 0.00100779
7 0.000626579 0.0818945 0.000911882
7.1 0.000563921 -0.0886382 0.000825105
7.2 0.000507529 0.0996221 0.000746586
7.3 0.000456776 -0.108563 0.000675539
7.4 0.000411098 0.121335 0.000611253
7.5 0.000369988 -0.13283 0.000553084
7.6 0.00033299 0.147901 0.000500451
7.7 0.000299691 -0.16241 0.000452827
7.8 0.000269722 0.180382 0.000409735
7.9 0.000242749 -0.198486 0.000370744
8 0.000218475 0.22008 0.000335463
8.1 0.000196627 -0.242502 0.000303539
8.2 0.000176964 0.26858 0.000274654
8.3 0.000159268 -0.296218 0.000248517
8.4 0.000143341 0.327824 0.000224867
8.5 0.000129007 -0.361783 0.000203468
8.6 0.000116106 0.40018 0.000184106
8.7 0.000104496 -0.441819 0.000166586
8.8 9.40461e-05 0.488544 0.000150733
8.9 8.46415e-05 -0.539528 0.000136389
9 7.61773e-05 0.59645 0.00012341
9.1 6.85596e-05 -0.658818 0.000111666
9.2 6.17037e-05 0.728213 0.000101039
9.3 5.55333e-05 -0.80446 9.14242e-05
9.4 4.998e-05 0.889105 8.27241e-05
9.5 4.4982e-05 -0.982281 7.48518e-05
9.6 4.04838e-05 1.08556 6.77287e-05
9.7 3.64354e-05 -1.19939 6.12835e-05
9.8 3.27919e-05 1.32544 5.54516e-05
9.9 2.95127e-05 -1.46448 5.01747e-05
10 2.65614e-05 1.61834 4.53999e-05
