# t=n*delta_t euler_normal euler_symmetrisch analytisch
0 0.9 1 1
0.1 0.81 0.9 0.904837
0.2 0.729 0.82 0.818731
0.3 0.6561 0.736 0.740818
0.4 0.59049 0.6728 0.67032
0.5 0.531441 0.60144 0.606531
0.6 0.478297 0.552512 0.548812
0.7 0.430467 0.490938 0.496585
0.8 0.38742 0.454324 0.449329
0.9 0.348678 0.400073 0.40657
1 0.313811 0.37431 0.367879
1.1 0.28243 0.325211 0.332871
1.2 0.254187 0.309268 0.301194
1.3 0.228768 0.263357 0.272532
1.4 0.205891 0.256596 0.246597
1.5 0.185302 0.212038 0.22313
1.6 0.166772 0.214189 0.201897
1.7 0.150095 0.1692 0.182684
1.8 0.135085 0.180349 0.165299
1.9 0.121577 0.13313 0.149569
2 0.109419 0.153723 0.135335
2.1 0.0984771 0.102386 0.122456
2.2 0.0886294 0.133246 0.110803
2.3 0.0797664 0.0757367 0.100259
2.4 0.0717898 0.118098 0.090718
2.5 0.0646108 0.0521171 0.082085
2.6 0.0581497 0.107675 0.0742736
2.7 0.0523348 0.0305821 0.0672055
2.8 0.0471013 0.101558 0.0608101
2.9 0.0423912 0.0102705 0.0550232
3 0.038152 0.0995042 0.0497871
3.1 0.0343368 -0.00963036 0.0450492
3.2 0.0309032 0.10143 0.0407622
3.3 0.0278128 -0.0299164 0.0368832
3.4 0.0250316 0.107414 0.0333733
3.5 0.0225284 -0.0513991 0.0301974
3.6 0.0202756 0.117693 0.0273237
3.7 0.018248 -0.0749378 0.0247235
3.8 0.0164232 0.132681 0.0223708
3.9 0.0147809 -0.101474 0.0202419
4 0.0133028 0.152976 0.0183156
4.1 0.0119725 -0.132069 0.0165727
4.2 0.0107753 0.17939 0.0149956
4.3 0.00969774 -0.167947 0.0135686
4.4 0.00872796 0.212979 0.0122773
4.5 0.00785517 -0.210543 0.011109
4.6 0.00706965 0.255088 0.0100518
4.7 0.00636269 -0.26156 0.00909528
4.8 0.00572642 0.3074 0.00822975
4.9 0.00515378 -0.32304 0.00744658
5 0.0046384 0.372008 0.00673795
5.1 0.00417456 -0.397442 0.00609675
5.2 0.0037571 0.451496 0.00551656
5.3 0.00338139 -0.487741 0.00499159
5.4 0.00304325 0.549044 0.00451658
5.5 0.00273893 -0.59755 0.00408677
5.6 0.00246503 0.668554 0.00369786
5.7 0.00221853 -0.731261 0.00334597
5.8 0.00199668 0.814807 0.00302755
5.9 0.00179701 -0.894222 0.00273944
6 0.00161731 0.993651 0.00247875
6.1 0.00145558 -1.09295 0.00224287
6.2 0.00131002 1.21224 0.00202943
6.3 0.00117902 -1.3354 0.0018363
6.4 0.00106112 1.47932 0.00166156
6.5 0.000955005 -1.63127 0.00150344
6.6 0.000859504 1.80557 0.00136037
6.7 0.000773554 -1.99238 0.00123091
6.8 0.000696199 2.20405 0.00111378
6.9 0.000626579 -2.43319 0.00100779
7 0.000563921 2.69069 0.000911882
7.1 0.000507529 -2.97133 0.000825105
7.2 0.000456776 3.28495 0.000746586
7.3 0.000411098 -3.62832 0.000675539
7.4 0.000369988 4.01062 0.000611253
7.5 0.00033299 -4.43044 0.000553084
7.6 0.000299691 4.89671 0.000500451
7.7 0.000269722 -5.40978 0.000452827
7.8 0.000242749 5.97866 0.000409735
7.9 0.000218475 -6.60552 0.000370744
8 0.000196627 7.29977 0.000335463
8.1 0.000176964 -8.06547 0.000303539
8.2 0.000159268 8.91286 0.000274654
8.3 0.000143341 -9.84804 0.000248517
8.4 0.000129007 10.8825 0.000224867
8.5 0.000116106 -12.0245 0.000203468
8.6 0.000104496 13.2874 0.000184106
8.7 9.40461e-05 -14.682 0.000166586
8.8 8.46415e-05 16.2238 0.000150733
8.9 7.61773e-05 -17.9268 0.000136389
9 6.85596e-05 19.8091 0.00012341
9.1 6.17037e-05 -21.8886 0.000111666
9.2 5.55333e-05 24.1869 0.000101039
9.3 4.998e-05 -26.726 9.14242e-05
9.4 4.4982e-05 29.532 8.27241e-05
9.5 4.04838e-05 -32.6324 7.48518e-05
9.6 3.64354e-05 36.0585 6.77287e-05
9.7 3.27919e-05 -39.8441 6.12835e-05
9.8 2.95127e-05 44.0273 5.54516e-05
9.9 2.65614e-05 -48.6495 5.01747e-05
10 2.39053e-05 53.7572 4.53999e-05
