# x_a f_a(xa) f_a_ohne(xa)
100000 1.59282e-08 1.58113e-08
100990 1.56731e-08 1.55793e-08
101980 1.53654e-08 1.5353e-08
102970 1.53e-08 1.51322e-08
103960 1.52518e-08 1.49165e-08
104950 1.48208e-08 1.4706e-08
105940 1.47327e-08 1.45003e-08
106930 1.43224e-08 1.42994e-08
107920 1.40398e-08 1.41031e-08
108910 1.36564e-08 1.39112e-08
109900 1.3619e-08 1.37237e-08
110890 1.33693e-08 1.35403e-08
111880 1.3622e-08 1.3361e-08
112870 1.31748e-08 1.31856e-08
113860 1.2806e-08 1.3014e-08
114850 1.29139e-08 1.28461e-08
115840 1.28499e-08 1.26818e-08
116830 1.25822e-08 1.25209e-08
117820 1.22512e-08 1.23634e-08
118810 1.21074e-08 1.22092e-08
119800 1.20151e-08 1.20582e-08
120790 1.19411e-08 1.19102e-08
121780 1.18301e-08 1.17653e-08
122770 1.16165e-08 1.16233e-08
123760 1.12755e-08 1.14841e-08
124750 1.10301e-08 1.13477e-08
125740 1.11772e-08 1.12139e-08
126730 1.11995e-08 1.10828e-08
127720 1.11183e-08 1.09542e-08
128710 1.07094e-08 1.0828e-08
129700 1.0901e-08 1.07043e-08
130690 1.06506e-08 1.05829e-08
131680 1.03357e-08 1.04638e-08
132670 1.03866e-08 1.03469e-08
133660 1.0136e-08 1.02321e-08
134650 1.01463e-08 1.01195e-08
135640 1.00994e-08 1.00089e-08
136630 9.75723e-09 9.9003e-09
137620 9.91236e-09 9.79367e-09
138610 9.74904e-09 9.68893e-09
139600 9.481e-09 9.58605e-09
140590 9.64189e-09 9.48497e-09
141580 9.46466e-09 9.38566e-09
142570 9.42524e-09 9.28807e-09
143560 9.1739e-09 9.19216e-09
144550 9.07642e-09 9.09789e-09
145540 8.74024e-09 9.00522e-09
146530 8.77242e-09 8.91411e-09
147520 8.7075e-09 8.82453e-09
148510 8.6668e-09 8.73644e-09
149500 8.59649e-09 8.6498e-09
150490 8.52981e-09 8.56459e-09
151480 8.46853e-09 8.48076e-09
152470 8.54277e-09 8.3983e-09
153460 8.29743e-09 8.31716e-09
154450 8.44139e-09 8.23732e-09
155440 8.18835e-09 8.15875e-09
156430 8.21774e-09 8.08142e-09
157420 8.00264e-09 8.00531e-09
158410 7.88924e-09 7.93038e-09
159400 8.11997e-09 7.85662e-09
160390 7.7921e-09 7.78399e-09
161380 7.60949e-09 7.71247e-09
162370 7.72755e-09 7.64204e-09
163360 7.42034e-09 7.57268e-09
164350 7.43563e-09 7.50436e-09
165340 7.29875e-09 7.43706e-09
166330 7.35383e-09 7.37076e-09
167320 7.35702e-09 7.30544e-09
168310 7.18939e-09 7.24108e-09
169300 7.17247e-09 7.17766e-09
170290 7.04739e-09 7.11516e-09
171280 7.29796e-09 7.05356e-09
172270 6.97378e-09 6.99284e-09
173260 6.80984e-09 6.93299e-09
174250 6.9349e-09 6.87399e-09
175240 6.56593e-09 6.81582e-09
176230 6.8527e-09 6.75847e-09
177220 6.68018e-09 6.70192e-09
178210 6.44212e-09 6.64615e-09
179200 6.45213e-09 6.59115e-09
180190 6.44107e-09 6.5369e-09
181180 6.44937e-09 6.4834e-09
182170 6.6243e-09 6.43062e-09
183160 6.33869e-09 6.37855e-09
184150 6.30246e-09 6.32719e-09
185140 6.25317e-09 6.2765e-09
186130 6.13272e-09 6.2265e-09
187120 6.21992e-09 6.17715e-09
188110 6.09231e-09 6.12845e-09
189100 6.037e-09 6.08038e-09
190090 6.01642e-09 6.03295e-09
191080 5.91319e-09 5.98612e-09
192070 5.70196e-09 5.9399e-09
193060 5.84362e-09 5.89427e-09
194050 5.67888e-09 5.84922e-09
195040 5.81795e-09 5.80474e-09
196030 5.79101e-09 5.76082e-09
197020 5.88193e-09 5.71746e-09
198010 5.7268e-09 5.67463e-09
199000 5.52564e-09 5.63234e-09
199990 5.77018e-09 5.59057e-09
200980 5.60874e-09 5.54931e-09
201970 5.37307e-09 5.50856e-09
202960 5.26848e-09 5.4683e-09
203950 5.39126e-09 5.42854e-09
204940 5.45788e-09 5.38925e-09
205930 5.49102e-09 5.35043e-09
206920 5.18003e-09 5.31208e-09
207910 5.16366e-09 5.27419e-09
208900 5.10317e-09 5.23674e-09
209890 5.299e-09 5.19973e-09
210880 5.13188e-09 5.16316e-09
211870 4.96266e-09 5.12701e-09
212860 5.11398e-09 5.09128e-09
213850 5.0687e-09 5.05597e-09
214840 5.0461e-09 5.02106e-09
215830 4.76064e-09 4.98656e-09
216820 5.08862e-09 4.95244e-09
217810 5.08589e-09 4.91872e-09
218800 4.98022e-09 4.88537e-09
219790 5.05321e-09 4.8524e-09
220780 4.86807e-09 4.8198e-09
221770 4.69481e-09 4.78756e-09
222760 4.73602e-09 4.75568e-09
223750 4.42742e-09 4.72415e-09
224740 4.72642e-09 4.69297e-09
225730 4.66821e-09 4.66213e-09
226720 4.81646e-09 4.63163e-09
227710 4.55515e-09 4.60146e-09
228700 4.65906e-09 4.57161e-09
229690 4.4472e-09 4.54209e-09
230680 4.35762e-09 4.51288e-09
231670 4.56458e-09 4.48398e-09
232660 4.53338e-09 4.45539e-09
233650 4.5361e-09 4.42711e-09
234640 4.33761e-09 4.39912e-09
235630 4.51675e-09 4.37142e-09
236620 4.52559e-09 4.34402e-09
237610 4.07488e-09 4.3169e-09
238600 4.29787e-09 4.29006e-09
239590 4.20602e-09 4.26349e-09
240580 4.22108e-09 4.2372e-09
241570 4.35656e-09 4.21118e-09
242560 4.06976e-09 4.18543e-09
243550 4.24086e-09 4.15993e-09
244540 4.00874e-09 4.1347e-09
245530 3.97631e-09 4.10972e-09
246520 4.11092e-09 4.08498e-09
247510 4.17981e-09 4.0605e-09
248500 4.07357e-09 4.03626e-09
249490 3.99029e-09 4.01226e-09
250480 4.11569e-09 3.9885e-09
251470 4.01008e-09 3.96497e-09
252460 4.13178e-09 3.94167e-09
253450 3.9384e-09 3.91859e-09
254440 3.85791e-09 3.89575e-09
255430 3.84347e-09 3.87312e-09
256420 3.68749e-09 3.85071e-09
257410 3.75121e-09 3.82852e-09
258400 3.74069e-09 3.80654e-09
259390 3.72887e-09 3.78476e-09
260380 3.74712e-09 3.7632e-09
261370 3.79794e-09 3.74184e-09
262360 3.76085e-09 3.72068e-09
263350 3.77375e-09 3.69972e-09
264340 3.72864e-09 3.67895e-09
265330 3.74894e-09 3.65838e-09
266320 3.40722e-09 3.638e-09
267310 3.66074e-09 3.61781e-09
268300 3.65708e-09 3.59781e-09
269290 3.67959e-09 3.57798e-09
270280 3.47055e-09 3.55834e-09
271270 3.40484e-09 3.53888e-09
272260 3.37008e-09 3.5196e-09
273250 3.68183e-09 3.50049e-09
274240 3.42493e-09 3.48155e-09
275230 3.62371e-09 3.46278e-09
276220 3.44696e-09 3.44418e-09
277210 3.3765e-09 3.42575e-09
278200 3.39554e-09 3.40748e-09
279190 3.34538e-09 3.38937e-09
280180 3.38304e-09 3.37142e-09
281170 3.35498e-09 3.35363e-09
282160 3.3788e-09 3.336e-09
283150 3.37266e-09 3.31852e-09
284140 3.35172e-09 3.30119e-09
285130 3.36399e-09 3.28401e-09
286120 3.37602e-09 3.26698e-09
