# x_c f_c(xc) f_c_ohne(xc)
0 1e-06 1e-06
0.0004 1.00001e-06 1e-06
0.0008 1.00001e-06 1e-06
0.0012 1.00001e-06 9.99999e-07
0.0016 1.00001e-06 9.99999e-07
0.002 1.00001e-06 9.99998e-07
0.0024 1.00001e-06 9.99997e-07
0.0028 1.00001e-06 9.99996e-07
0.0032 1.00001e-06 9.99995e-07
0.0036 1.00001e-06 9.99994e-07
0.004 9.99775e-07 9.99992e-07
0.0044 9.99309e-07 9.9999e-07
0.0048 9.99775e-07 9.99989e-07
0.0052 9.99775e-07 9.99986e-07
0.0056 9.99775e-07 9.99984e-07
0.006 9.99775e-07 9.99982e-07
0.0064 9.99775e-07 9.9998e-07
0.0068 9.99775e-07 9.99977e-07
0.0072 9.99775e-07 9.99974e-07
0.0076 9.99775e-07 9.99971e-07
0.008 1.00024e-06 9.99968e-07
0.0084 1.00024e-06 9.99965e-07
0.0088 1.00024e-06 9.99961e-07
0.0092 1.00024e-06 9.99958e-07
0.0096 1.00024e-06 9.99954e-07
0.01 1.00024e-06 9.9995e-07
0.0104 1.00024e-06 9.99946e-07
0.0108 1.00024e-06 9.99942e-07
0.0112 1.00024e-06 9.99937e-07
0.0116 1.00024e-06 9.99933e-07
0.012 1.00024e-06 9.99928e-07
0.0124 1.00024e-06 9.99923e-07
0.0128 1.00024e-06 9.99918e-07
0.0132 1.00024e-06 9.99913e-07
0.0136 1.00024e-06 9.99907e-07
0.014 1.00024e-06 9.99902e-07
0.0144 1.00024e-06 9.99896e-07
0.0148 1.00024e-06 9.99891e-07
0.0152 9.99309e-07 9.99884e-07
0.0156 9.99309e-07 9.99878e-07
0.016 9.98378e-07 9.99872e-07
0.0164 1.00024e-06 9.99866e-07
0.0168 1.00024e-06 9.99859e-07
0.0172 1.00024e-06 9.99852e-07
0.0176 1.00024e-06 9.99845e-07
0.018 1.00024e-06 9.99838e-07
0.0184 1.00024e-06 9.99831e-07
0.0188 1.00024e-06 9.99823e-07
0.0192 1.00024e-06 9.99816e-07
0.0196 1.00024e-06 9.99808e-07
0.02 1.00024e-06 9.998e-07
0.0204 1.00024e-06 9.99792e-07
0.0208 1.00024e-06 9.99784e-07
0.0212 1.00024e-06 9.99775e-07
0.0216 1.00024e-06 9.99767e-07
0.022 1.00024e-06 9.99758e-07
0.0224 1.00024e-06 9.99749e-07
0.0228 1.00024e-06 9.9974e-07
0.0232 1.00024e-06 9.99731e-07
0.0236 1.00024e-06 9.99721e-07
0.024 1.00024e-06 9.99712e-07
0.0244 1.00024e-06 9.99702e-07
0.0248 1.00024e-06 9.99692e-07
0.0252 1.00024e-06 9.99682e-07
0.0256 1.00024e-06 9.99672e-07
0.026 1.00024e-06 9.99662e-07
0.0264 9.98378e-07 9.99652e-07
0.0268 1.00024e-06 9.99641e-07
0.0272 1.00024e-06 9.9963e-07
0.0276 1.00024e-06 9.99619e-07
0.028 1.00024e-06 9.99608e-07
0.0284 1.00024e-06 9.99597e-07
0.0288 9.98378e-07 9.99585e-07
0.0292 1.00024e-06 9.99574e-07
0.0296 9.98378e-07 9.99562e-07
0.03 1.00024e-06 9.9955e-07
0.0304 1.00024e-06 9.99538e-07
0.0308 9.98378e-07 9.99526e-07
0.0312 9.98378e-07 9.99513e-07
0.0316 9.98378e-07 9.99501e-07
0.032 9.98378e-07 9.99488e-07
0.0324 9.98378e-07 9.99475e-07
0.0328 9.98378e-07 9.99462e-07
0.0332 9.98378e-07 9.99449e-07
0.0336 9.98378e-07 9.99436e-07
0.034 9.98378e-07 9.99422e-07
0.0344 9.98378e-07 9.99408e-07
0.0348 9.94653e-07 9.99395e-07
0.0352 9.98378e-07 9.99381e-07
0.0356 9.94653e-07 9.99366e-07
0.036 9.98378e-07 9.99352e-07
0.0364 9.98378e-07 9.99338e-07
0.0368 9.94653e-07 9.99323e-07
0.0372 9.98378e-07 9.99308e-07
0.0376 9.98378e-07 9.99293e-07
0.038 9.98378e-07 9.99278e-07
0.0384 9.98378e-07 9.99263e-07
0.0388 9.98378e-07 9.99247e-07
0.0392 9.98378e-07 9.99232e-07
0.0396 9.98378e-07 9.99216e-07
0.04 9.98378e-07 9.992e-07
0.0404 9.98378e-07 9.99184e-07
0.0408 9.94653e-07 9.99168e-07
0.0412 9.98378e-07 9.99151e-07
0.0416 9.98378e-07 9.99135e-07
0.042 9.94653e-07 9.99118e-07
0.0424 9.98378e-07 9.99101e-07
0.0428 9.94653e-07 9.99084e-07
0.0432 9.98378e-07 9.99067e-07
0.0436 9.98378e-07 9.9905e-07
0.044 9.98378e-07 9.99032e-07
0.0444 9.98378e-07 9.99014e-07
0.0448 9.94653e-07 9.98997e-07
0.0452 9.98378e-07 9.98979e-07
0.0456 9.98378e-07 9.9896e-07
0.046 9.94653e-07 9.98942e-07
0.0464 9.98378e-07 9.98924e-07
0.0468 9.94653e-07 9.98905e-07
0.0472 9.98378e-07 9.98886e-07
0.0476 9.98378e-07 9.98867e-07
0.048 9.94653e-07 9.98848e-07
0.0484 9.98378e-07 9.98829e-07
0.0488 9.98378e-07 9.98809e-07
0.0492 9.98378e-07 9.9879e-07
0.0496 9.98378e-07 9.9877e-07
0.05 9.98378e-07 9.9875e-07
0.0504 9.98378e-07 9.9873e-07
0.0508 9.94653e-07 9.9871e-07
0.0512 9.98378e-07 9.9869e-07
0.0516 9.98378e-07 9.98669e-07
0.052 9.98378e-07 9.98648e-07
0.0524 9.98378e-07 9.98627e-07
0.0528 9.98378e-07 9.98606e-07
0.0532 9.94653e-07 9.98585e-07
0.0536 9.94653e-07 9.98564e-07
0.054 9.98378e-07 9.98542e-07
0.0544 9.94653e-07 9.98521e-07
0.0548 9.94653e-07 9.98499e-07
0.0552 9.98378e-07 9.98477e-07
0.0556 9.98378e-07 9.98455e-07
0.056 9.98378e-07 9.98432e-07
0.0564 9.94653e-07 9.9841e-07
0.0568 9.94653e-07 9.98387e-07
0.0572 9.98378e-07 9.98364e-07
0.0576 9.94653e-07 9.98342e-07
0.058 9.98378e-07 9.98318e-07
0.0584 9.94653e-07 9.98295e-07
0.0588 9.98378e-07 9.98272e-07
0.0592 9.98378e-07 9.98248e-07
0.0596 9.98378e-07 9.98224e-07
0.06 9.98378e-07 9.982e-07
0.0604 9.94653e-07 9.98176e-07
0.0608 9.98378e-07 9.98152e-07
0.0612 9.94653e-07 9.98128e-07
0.0616 9.98378e-07 9.98103e-07
0.062 9.98378e-07 9.98079e-07
0.0624 9.94653e-07 9.98054e-07
0.0628 9.90927e-07 9.98029e-07
0.0632 9.98378e-07 9.98004e-07
0.0636 9.98378e-07 9.97978e-07
0.064 9.98378e-07 9.97953e-07
0.0644 9.90927e-07 9.97927e-07
0.0648 9.90927e-07 9.97901e-07
0.0652 9.98378e-07 9.97875e-07
0.0656 9.98378e-07 9.97849e-07
0.066 9.98378e-07 9.97823e-07
0.0664 9.90927e-07 9.97796e-07
0.0668 9.90927e-07 9.9777e-07
0.0672 9.98378e-07 9.97743e-07
0.0676 9.98378e-07 9.97716e-07
0.068 9.98378e-07 9.97689e-07
0.0684 9.98378e-07 9.97662e-07
0.0688 9.98378e-07 9.97634e-07
0.0692 9.98378e-07 9.97607e-07
0.0696 9.98378e-07 9.97579e-07
0.07 9.98378e-07 9.97551e-07
0.0704 9.98378e-07 9.97523e-07
0.0708 9.98378e-07 9.97495e-07
0.0712 9.98378e-07 9.97466e-07
0.0716 9.98378e-07 9.97438e-07
0.072 9.90927e-07 9.97409e-07
0.0724 9.98378e-07 9.9738e-07
0.0728 9.98378e-07 9.97351e-07
0.0732 9.90927e-07 9.97322e-07
0.0736 9.98378e-07 9.97293e-07
0.074 9.90927e-07 9.97263e-07
0.0744 9.98378e-07 9.97234e-07
0.0748 9.90927e-07 9.97204e-07
0.0752 9.90927e-07 9.97174e-07
0.0756 9.98378e-07 9.97144e-07
0.076 9.98378e-07 9.97113e-07
0.0764 9.98378e-07 9.97083e-07
0.0768 9.98378e-07 9.97052e-07
0.0772 9.90927e-07 9.97022e-07
0.0776 9.98378e-07 9.96991e-07
0.078 9.90927e-07 9.9696e-07
0.0784 9.90927e-07 9.96928e-07
0.0788 9.90927e-07 9.96897e-07
0.0792 9.98378e-07 9.96865e-07
0.0796 9.98378e-07 9.96834e-07
0.08 9.98378e-07 9.96802e-07
0.0804 9.90927e-07 9.9677e-07
0.0808 9.90927e-07 9.96737e-07
0.0812 9.90927e-07 9.96705e-07
0.0816 9.90927e-07 9.96672e-07
0.082 9.98378e-07 9.9664e-07
0.0824 9.98378e-07 9.96607e-07
0.0828 9.98378e-07 9.96574e-07
0.0832 9.98378e-07 9.96541e-07
0.0836 9.90927e-07 9.96508e-07
0.084 9.98378e-07 9.96474e-07
0.0844 9.90927e-07 9.9644e-07
0.0848 9.90927e-07 9.96407e-07
0.0852 9.98378e-07 9.96373e-07
0.0856 9.98378e-07 9.96338e-07
0.086 9.90927e-07 9.96304e-07
0.0864 9.90927e-07 9.9627e-07
0.0868 9.98378e-07 9.96235e-07
0.0872 9.98378e-07 9.962e-07
0.0876 9.98378e-07 9.96166e-07
0.088 9.90927e-07 9.9613e-07
0.0884 9.90927e-07 9.96095e-07
0.0888 9.98378e-07 9.9606e-07
0.0892 9.90927e-07 9.96024e-07
0.0896 9.90927e-07 9.95989e-07
0.09 9.98378e-07 9.95953e-07
0.0904 9.90927e-07 9.95917e-07
0.0908 9.90927e-07 9.9588e-07
0.0912 9.90927e-07 9.95844e-07
0.0916 9.90927e-07 9.95808e-07
0.092 9.98378e-07 9.95771e-07
0.0924 9.98378e-07 9.95734e-07
0.0928 9.98378e-07 9.95697e-07
0.0932 9.98378e-07 9.9566e-07
0.0936 9.98378e-07 9.95623e-07
0.094 9.98378e-07 9.95585e-07
0.0944 9.98378e-07 9.95548e-07
0.0948 9.98378e-07 9.9551e-07
0.0952 9.98378e-07 9.95472e-07
0.0956 9.98378e-07 9.95434e-07
0.096 9.90927e-07 9.95395e-07
0.0964 9.90927e-07 9.95357e-07
0.0968 9.98378e-07 9.95318e-07
0.0972 9.90927e-07 9.9528e-07
0.0976 9.90927e-07 9.95241e-07
0.098 9.90927e-07 9.95202e-07
0.0984 9.98378e-07 9.95163e-07
0.0988 9.90927e-07 9.95123e-07
0.0992 9.90927e-07 9.95084e-07
0.0996 9.90927e-07 9.95044e-07
0.1 9.90927e-07 9.95004e-07
0.1004 9.98378e-07 9.94964e-07
0.1008 9.90927e-07 9.94924e-07
0.1012 9.98378e-07 9.94884e-07
0.1016 9.90927e-07 9.94843e-07
0.102 9.90927e-07 9.94802e-07
0.1024 9.98378e-07 9.94762e-07
0.1028 9.90927e-07 9.94721e-07
0.1032 9.90927e-07 9.9468e-07
0.1036 9.90927e-07 9.94638e-07
0.104 9.90927e-07 9.94597e-07
0.1044 9.90927e-07 9.94555e-07
0.1048 9.98378e-07 9.94513e-07
0.1052 9.90927e-07 9.94472e-07
0.1056 9.90927e-07 9.94429e-07
0.106 9.90927e-07 9.94387e-07
0.1064 9.90927e-07 9.94345e-07
0.1068 9.98378e-07 9.94302e-07
0.1072 9.90927e-07 9.94259e-07
0.1076 9.90927e-07 9.94217e-07
0.108 9.90927e-07 9.94174e-07
0.1084 9.98378e-07 9.9413e-07
0.1088 9.90927e-07 9.94087e-07
0.1092 9.98378e-07 9.94044e-07
0.1096 9.98378e-07 9.94e-07
0.11 9.90927e-07 9.93956e-07
0.1104 9.90927e-07 9.93912e-07
0.1108 9.98378e-07 9.93868e-07
0.1112 9.90927e-07 9.93824e-07
0.1116 9.90927e-07 9.93779e-07
0.112 9.90927e-07 9.93734e-07
0.1124 9.90927e-07 9.9369e-07
0.1128 9.90927e-07 9.93645e-07
0.1132 9.90927e-07 9.936e-07
0.1136 9.90927e-07 9.93554e-07
0.114 9.90927e-07 9.93509e-07
0.1144 9.98378e-07 9.93463e-07
0.1148 9.90927e-07 9.93418e-07
0.1152 9.90927e-07 9.93372e-07
0.1156 9.90927e-07 9.93326e-07
