# n*delta_t euler-normal euler-symm analytisch
t;normal;symm;ana
0; 10.8547; 1; 1
0.2; 0.8; 0.818731; 0.818731
0.4; 0.64; 0.672508; 0.67032
0.6; 0.512; 0.549728; 0.548812
0.8; 0.4096; 0.452617; 0.449329
1; 0.32768; 0.368681; 0.367879
1.2; 0.262144; 0.305144; 0.301194
1.4; 0.209715; 0.246623; 0.246597
1.6; 0.167772; 0.206495; 0.201897
1.8; 0.134218; 0.164025; 0.165299
2; 0.107374; 0.140885; 0.135335
2.2; 0.0858993; 0.107671; 0.110803
2.4; 0.0687195; 0.0978161; 0.090718
2.6; 0.0549756; 0.068545; 0.0742736
2.8; 0.0439805; 0.0703981; 0.0608101
3; 0.0351844; 0.0403858; 0.0497871
3.2; 0.0281475; 0.0542438; 0.0407622
3.4; 0.022518; 0.0186882; 0.0333733
3.6; 0.0180144; 0.0467685; 0.0273237
3.8; 0.0144115; -1.91616e-05; 0.0223708
4; 0.0115292; 0.0467762; 0.0183156
4.2; 0.00922337; -0.0187296; 0.0149956
4.4; 0.0073787; 0.054268; 0.0122773
4.6; 0.00590296; -0.0404369; 0.0100518
4.8; 0.00472237; 0.0704428; 0.00822975
5; 0.00377789; -0.068614; 0.00673795
5.2; 0.00302231; 0.0978884; 0.00551656
5.4; 0.00241785; -0.107769; 0.00451658
5.6; 0.00193428; 0.140996; 0.00369786
5.8; 0.00154743; -0.164168; 0.00302755
6; 0.00123794; 0.206663; 0.00247875
6.2; 0.000990352; -0.246833; 0.00202943
6.4; 0.000792282; 0.305396; 0.00166156
6.6; 0.000633825; -0.368992; 0.00136037
6.8; 0.00050706; 0.452993; 0.00111378
7; 0.000405648; -0.550189; 0.000911882
7.2; 0.000324519; 0.673069; 0.000746586
7.4; 0.000259615; -0.819416; 0.000611253
7.6; 0.000207692; 1.00084; 0.000500451
7.8; 0.000166153; -1.21975; 0.000409735
8; 0.000132923; 1.48874; 0.000335463
8.2; 0.000106338; -1.81524; 0.000274654
8.4; 8.50706e-05; 2.21483; 0.000224867
8.6; 6.80565e-05; -2.70118; 0.000184106
8.8; 5.44452e-05; 3.2953; 0.000150733
9; 4.35561e-05; -4.0193; 0.00012341
9.2; 3.48449e-05; 4.90302; 0.000101039
9.4; 2.78759e-05; -5.98051; 8.27241e-05
9.6; 2.23007e-05; 7.29523; 6.77287e-05
9.8; 1.78406e-05; -8.8986; 5.54516e-05
10; 1.42725e-05; 10.8547; 4.53999e-05
